name,group,09: Junior,01: High School,11: Senior,05: Freshman,13: Graduation,08: Experience,03: Admissions,12: Post Grad Plans,04: Pre-Frosh,14: First Outcomes,02: Apply,10: Experience,06: Experiences,07: Sophomore,id
Barbara Wolpert,Cohort G,19.9,0.285,0.385,0.4,0.0769,0.947,66.2,65.8,1.4,7.4,357,0.56,0.314,0.278,27481
Dennis Coleman,Cohort G,35.8,0.5,0.717,2,0.138,1.705,41,39,5.1,7.4,358,2.162,1.189,1.027,27482
Carlos Bowen,Cohort G,23.5,0.88,0.78,1.6,0.0012,2.2,52.9,51.3,2.6,12.8,329,2.059,0.332,0.06,27483
Dennis Panahon,Cohort G,0.28,0.004,0.002,,0,0.005,,,99.48,0.24,876,61.924,28.732,3.694,27484
Tameka Wolford,Cohort G,0.85,0.024,0.714,,0,0.024,0.06,0.06,81.11,15.87,717,51.368,21.021,3.043,27485
Sydney Newhall,Cohort G,0.85,0.024,0.827,,0,0.026,0.06,0.06,81.11,15.87,717,50.489,23.426,3.012,27486
Elena Ross,Cohort G,0.85,0.024,0.011,,0,0.024,0.06,0.06,81.11,17.94,717,51.368,21.021,3.043,27487
Sally Hebb,Cohort G,14.23,0.476,0.132,,0,0.105,3.77,,13.47,61.61,229,8.721,3.563,0.484,27488
Erin Clayton,Cohort G,19.66,0.497,0.966,,0,0.363,8.32,,24.46,43.12,331,15.355,7.165,0.719,27489
David Aune,Cohort G,22.4,0.552,1.239,,0,0.336,8.8,8.21,1.3,63.8,137,0.81,0.38,0.048,27490
Stuart Kerrigan,Cohort G,19.61,0.574,1.596,,0,0.279,7.29,7.43,24.6,43.15,328,15.443,7.206,0.723,27491
William Newman,Cohort G,18.4,0.57,1.265,,0,0.291,7.83,7.43,25.18,43.21,330,14.895,7.214,1.108,27492
Michael Poe,Cohort G,21.92,0.723,1.552,,0,0.284,4.5,,24.14,43.67,323,15.487,6.801,0.6,27493
John Durham,Cohort G,17.6,0.529,1.587,,0,0.33,10.6,8.02,14.1,51.8,240,8.85,4.13,0.41,27494
Claudia Mcclean,Cohort G,17.6,0.529,1.587,,0,0.33,10.6,8.02,14.1,51.8,240,8.85,4.13,0.41,27495
Anne Walker,Cohort G,10.33,0.311,0.493,0.1,0.0006,0.142,5.48,0.19,14.92,66.86,197,8.034,4.735,1.397,27496
Walter Neuhaus,Cohort G,7.1,0.071,0.673,,0,0.112,3.5,3.5,28.6,58.5,295,18.02,8.071,1.033,27497
Sara King,Cohort G,16.41,0.562,1.625,,0,0.242,8.73,,21.23,47.65,290,13.327,6.219,0.624,27498
Owen Harris,Cohort G,16.41,0.562,1.345,,0,0.242,8.73,7.32,21.23,47.65,290,13.327,6.219,0.624,27499
David Magedanz,Cohort G,11.47,0.61,0.685,,0.0001,0.455,23.67,23.67,12.22,47.36,248,3.711,6.243,1.738,27500
Virginia Hooper,Cohort G,24.69,1.146,0.776,,0,0.093,3.41,0.56,19.4,48.2,282,11.58,5.02,0.75,27501
Mary Furtado,Cohort G,16.7,0.562,1.345,,0,0.242,11.6,7.74,14,53.1,239,8.79,4.102,0.409,27502
Marc Smith,Cohort G,21.4,0.528,1.395,,0,0.256,2.34,0.5,28.74,42.41,353,18.669,7.778,0.8,27503
